region_id,commodity_id,as_of_date,row_number,commodity_name,specification,market_1,market_2,market_3,market_4,market_5,market_6,market_7,market_8,market_9,market_10,market_11
050000000,1,"April 01, 2026",1,NFA,KG,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
050000000,1,"April 01, 2026",2,COMMERCIAL (IMPORTED) Premium (Yellow tagged),5% BROKEN,N/A,57.00,N/A,60.00,N/A,59.00,N/A,N/A,N/A,N/A,N/A
050000000,1,"April 01, 2026",3,COMMERCIAL (IMPORTED) Regular Milled,20-40% BRAN STREAK,N/A,N/A,N/A,N/A,N/A,53.00,N/A,N/A,N/A,N/A,N/A
050000000,1,"April 01, 2026",4,COMMERCIAL (IMPORTED) Special (Blue tagged),WHITE RICE,N/A,64.00,N/A,N/A,N/A,60.00,N/A,N/A,N/A,N/A,N/A
050000000,1,"April 01, 2026",5,COMMERCIAL (IMPORTED) Well Milled,1-19% BRAN STREAK,N/A,N/A,N/A,N/A,N/A,57.00,N/A,N/A,N/A,N/A,N/A
050000000,1,"April 01, 2026",6,COMMERCIAL (LOCAL) Premium (Yellow tagged),5% BROKEN,N/A,59.00,58.00,60.00,N/A,52.00,N/A,N/A,N/A,N/A,N/A
050000000,1,"April 01, 2026",7,COMMERCIAL (LOCAL) Regular Milled,20-40% BRAN STREAK,N/A,53.00,40.00,53.00,N/A,42.00,N/A,N/A,N/A,N/A,N/A
050000000,1,"April 01, 2026",8,COMMERCIAL (LOCAL) Special (Blue tagged),WHITE RICE,N/A,60.00,65.00,N/A,N/A,57.00,N/A,N/A,N/A,N/A,N/A
050000000,1,"April 01, 2026",9,COMMERCIAL (LOCAL) Well Milled,1-19% BRAN STREAK,N/A,55.00,55.00,56.00,N/A,45.00,N/A,N/A,N/A,N/A,N/A
050000000,2,"April 01, 2026",1,Corn (White),"Cob, Glutinous",N/A,N/A,N/A,N/A,N/A,60.00,N/A,N/A,N/A,N/A,N/A
050000000,2,"April 01, 2026",2,Corn (Yellow),"Cob, Sweet Corn",N/A,100.00,N/A,N/A,N/A,40.00,N/A,N/A,N/A,N/A,N/A
050000000,2,"April 01, 2026",3,"Corn Grits (White, Food Grade)",KG,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
050000000,2,"April 01, 2026",4,"Corn Cracked (Yellow, Feed Grade)",KG,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
050000000,2,"April 01, 2026",5,Corn Grits (Feed Grade),KG,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
050000000,2,"April 01, 2026",6,"Corn Grits (Yellow, Food Grade)",KG,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
050000000,3,"April 01, 2026",1,Mungbean,KG,N/A,160.00,180.00,140.00,N/A,135.00,N/A,N/A,N/A,N/A,N/A
050000000,4,"April 01, 2026",1,Alumahan,MEDIUM (4-6PCS/KG),N/A,N/A,200.00,240.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
050000000,4,"April 01, 2026",2,Bangus (Medium),MEDIUM (3-4PCS/KG),N/A,260.00,220.00,240.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
050000000,4,"April 01, 2026",3,Galunggong(Imported),"MALE, MEDIUM (12-14PCS/KG)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
050000000,4,"April 01, 2026",4,Galunggong(Local),"MALE, MEDIUM(12-14PCS/KG)",N/A,200.00,200.00,260.00,N/A,200.00,N/A,N/A,N/A,N/A,N/A
050000000,4,"April 01, 2026",5,Tilapia,MEDIUM (5-6PCS/KG),N/A,160.00,170.00,180.00,N/A,180.00,N/A,N/A,N/A,N/A,N/A
050000000,4,"April 01, 2026",6,Bonito,,N/A,N/A,180.00,180.00,N/A,260.00,N/A,N/A,N/A,N/A,N/A
050000000,4,"April 01, 2026",7,Salmon Head,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
050000000,4,"April 01, 2026",8,Sardines (Tamban),,N/A,80.00,70.00,100.00,N/A,50.00,N/A,N/A,N/A,N/A,N/A
050000000,4,"April 01, 2026",9,Squid (Pusit Bisaya),Medium,N/A,N/A,160.00,N/A,N/A,400.00,N/A,N/A,N/A,N/A,N/A
050000000,4,"April 01, 2026",10,Yellow-Fin Tuna (Tambakol),,N/A,N/A,240.00,N/A,N/A,260.00,N/A,N/A,N/A,N/A,N/A
050000000,4,"April 01, 2026",11,Bangus (Large),LARGE (KG),N/A,280.00,240.00,260.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
050000000,5,"April 01, 2026",1,Calamansi,KG,N/A,140.00,140.00,140.00,N/A,100.00,N/A,N/A,N/A,N/A,N/A
050000000,5,"April 01, 2026",2,Banana (Lakatan),8-10PCS/KG,N/A,100.00,120.00,120.00,N/A,80.00,N/A,N/A,N/A,N/A,N/A
050000000,5,"April 01, 2026",3,Banana (Latundan),10-12PCS/KG,N/A,70.00,85.00,80.00,N/A,80.00,N/A,N/A,N/A,N/A,N/A
050000000,5,"April 01, 2026",4,Mango (Carabao),"RIPE, 3-4PCS/KG",N/A,120.00,120.00,120.00,N/A,140.00,N/A,N/A,N/A,N/A,N/A
050000000,5,"April 01, 2026",5,Papaya,"SOLO, RIPE, 2-3PCS",N/A,100.00,85.00,N/A,N/A,60.00,N/A,N/A,N/A,N/A,N/A
050000000,5,"April 01, 2026",6,Melon,,N/A,80.00,100.00,140.00,N/A,100.00,N/A,N/A,N/A,N/A,N/A
050000000,5,"April 01, 2026",7,Avocado,,N/A,250.00,N/A,250.00,N/A,280.00,N/A,N/A,N/A,N/A,N/A
050000000,5,"April 01, 2026",8,Pomelo,KG,N/A,N/A,N/A,180.00,N/A,120.00,N/A,N/A,N/A,N/A,N/A
050000000,5,"April 01, 2026",9,Watermelon,KG,N/A,60.00,70.00,75.00,N/A,60.00,N/A,N/A,N/A,N/A,N/A
050000000,5,"April 01, 2026",10,Banana (Saba),KG,N/A,50.00,45.00,50.00,N/A,40.00,N/A,N/A,N/A,N/A,N/A
050000000,6,"April 01, 2026",1,Cabbage (Scorpio),750GM-1KG/HEAD,N/A,100.00,80.00,120.00,N/A,60.00,N/A,N/A,N/A,N/A,N/A
050000000,6,"April 01, 2026",2,Carrots,8-10PCS/KG,N/A,160.00,140.00,200.00,N/A,140.00,N/A,N/A,N/A,N/A,N/A
050000000,6,"April 01, 2026",3,Habichuelas (Baguio Bean),KG,N/A,140.00,120.00,160.00,N/A,120.00,N/A,N/A,N/A,N/A,N/A
050000000,6,"April 01, 2026",4,White Potato,10-12PCS/KG,N/A,120.00,100.00,140.00,N/A,80.00,N/A,N/A,N/A,N/A,N/A
050000000,6,"April 01, 2026",5,Pechay (Baguio),KG,N/A,100.00,80.00,120.00,N/A,60.00,N/A,N/A,N/A,N/A,N/A
050000000,6,"April 01, 2026",6,Chayote,KG,N/A,60.00,60.00,80.00,N/A,40.00,N/A,N/A,N/A,N/A,N/A
050000000,6,"April 01, 2026",7,Broccoli,MEDIUM (8-10CM DIAMETER/BUNCH HD),N/A,240.00,280.00,350.00,N/A,160.00,N/A,N/A,N/A,N/A,N/A
050000000,6,"April 01, 2026",8,Cauliflower,MEDIUM (8-10CM DIAMETER/BUNCH HD),N/A,200.00,200.00,350.00,N/A,130.00,N/A,N/A,N/A,N/A,N/A
050000000,6,"April 01, 2026",9,Bell Pepper (Green),MEDIUM (151-250GM/PC),N/A,300.00,450.00,350.00,N/A,340.00,N/A,N/A,N/A,N/A,N/A
050000000,6,"April 01, 2026",10,Bell Pepper (Red),MEDIUM (151-250GM/PC),N/A,280.00,450.00,350.00,N/A,340.00,N/A,N/A,N/A,N/A,N/A
050000000,6,"April 01, 2026",11,Celery,MEDIUM (501-800 G),N/A,200.00,180.00,N/A,N/A,160.00,N/A,N/A,N/A,N/A,N/A
050000000,6,"April 01, 2026",12,Cabbage (Rare Ball),510GM-1KG/HEAD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
050000000,6,"April 01, 2026",13,Cabbage (Wonder Ball),510GM-1KG/HEAD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
050000000,6,"April 01, 2026",14,Lettuce (Green Ice),,N/A,N/A,N/A,N/A,N/A,120.00,N/A,N/A,N/A,N/A,N/A
050000000,6,"April 01, 2026",15,Lettuce (Iceberg),MEDIUM(301-450CM DIAMETER/BUNCH HD),N/A,260.00,N/A,N/A,N/A,250.00,N/A,N/A,N/A,N/A,N/A
